Attribute,Description,Valid Values,DependsOn,Properties,Required,Parent,DependsOn Component,	http://purl.obolibrary.org/obo/NCIT_C164667,Validation Rules
Median Fraction of Reads in Annotated cis DNA Elements,Median fraction of reads in annotated cis-DNA elements (FRIADE),,Peaks Calling Software,,TRUE,Sequencing,,,
Median Passing Read Percentage,Non-PCR duplicate nuclear genomic sequence reads not aligning to unanchored contigs out of total reads assigned to the nucleus barcode,,,,TRUE,Sequencing,,,
Median Percentage of Mitochondrial Reads per Nucleus,Contamination from mitochondrial sequences,,,,TRUE,Sequencing,,,
Transposition Reaction,"Name of the transposase, transposon sequences","Tn5, EZ-Tn5, Tn5-059, Nextera Tn5, Diagenode-unloaded Apex-Bio, Diagenode-loaded Apex-Bio, In-House",,,TRUE,Sequencing,,,
Single Nucleus Buffer,Nuclei isolation buffer,"NIB, 10x, Omni",,,TRUE,Sequencing,,,
scATACseq Library Layout,Sequencing read type,scATACseq Paired End,,,TRUE,Sequencing,,,
Nucleus Identifier,Unique nuclei barcode; added at transposition step. Determines which nucleus the reads originated from,Nuclei Barcode,,,TRUE,Sequencing,,,
Nuclei Barcode Read,Nuclei Barcode Read,,,,TRUE,Sequencing,,,
Nuclei Barcode Length,Nuclei Barcode Length,,,,TRUE,Sequencing,,,
scATACseq Paired End,A library layout type,"scATACseq Read1, scATACseq Read2",,,FALSE,Sequencing,,,
Read3,Read 3 content description,"Cell Barcode and DNA Insert, Sample Index and DNA Insert, DNA Insert, Sample Index, Cell Barcode",,,FALSE,Sequencing,,,
