Attribute,Description,Valid Values,DependsOn,Properties,Required,Parent,DependsOn Component,Source,Validation Rules
FOVYUnit,Field of view Y dimension units. See OME enumeration of allowed values for the UnitsLength attribute -- default: microns (um),"cm, mm, µm, nm, Å","","",FALSE,Imaging Level 2,"","",""
Frame Averaging,"Number of frames averaged together (if no averaging, set to 1). Integer >= 1","","","",FALSE,Imaging Level 2,"","",""
Image ID,"Unique internal image identifier. eg """"Image:0"""". (To be extracted from OME-XML)","","","",TRUE,Imaging Level 2,"","",""
DimensionOrder,The order in which the individual planes of data are interleaved.,"XYZCT, XYZTC, XYCTZ, XYCZT, XYTZC, ZYX","","",TRUE,Imaging Level 2,"","",""
PhysicalSizeX,Physical size (X-dimension) of a pixel. Units are set by PhysicalSizeXUnit. Floating point value > 0.,"",PhysicalSizeXUnit,"",TRUE,Imaging Level 2,"","",""
PhysicalSizeXUnit,The units of the physical size of a pixel. See OME enumeration of allowed values for the UnitsLength attribute -- default: microns (um),"cm, mm, µm, nm, Å","","",TRUE,Imaging Level 2,"","",""
PhysicalSizeY,Physical size (Y-dimension) of a pixel. Units are set by PhysicalSizeYUnit. Floating point value > 0.,"",PhysicalSizeYUnit,"",TRUE,Imaging Level 2,"","",""
PhysicalSizeYUnit,The units of the physical size of a pixel. See OME enumeration of allowed values for the UnitsLength attribute -- default: microns (um),"cm, mm, µm, nm, Å","","",TRUE,Imaging Level 2,"","",""
PhysicalSizeZ,Physical size (Z-dimension) of a pixel. Units are set by PhysicalSizeZUnit. Floating point value > 0.,"",PhysicalSizeZUnit,"",TRUE,Imaging Level 2,"","",""
PhysicalSizeZUnit,The units of the physical size of a pixel. See OME enumeration of allowed values for the UnitsLength attribute -- default: microns (um),"cm, mm, µm, nm, Å","","",TRUE,Imaging Level 2,"","",""
Pixels BigEndian,Boolean (True/False),"True, False","","",TRUE,Imaging Level 2,"","",""
PlaneCount,"Number of Z-planes (not to be confused with downsampled """"pyramid""""). Integer >=1","","","",TRUE,Imaging Level 2,"","",""
SizeC,Number of channels. Integer >= 1,"","","",TRUE,Imaging Level 2,"","",""
SizeT,Number of time points. Integer >= 1,"","","",TRUE,Imaging Level 2,"","",""
SizeX,Size of image: X dimension (in pixels). Integer >= 1,"","","",TRUE,Imaging Level 2,"","",""
SizeY,Size of image: Y dimension (in pixels). Integer >= 1,"","","",TRUE,Imaging Level 2,"","",""
SizeZ,Size of image: Z dimension (in pixels). Integer >= 1,"","","",TRUE,Imaging Level 2,"","",""
PixelType,"Data type for each pixel value. E.g. """"uint16""""","int8, int16, int32, uint8, uint16, uint32, float, double, bit","","",TRUE,Imaging Level 2,"","",""
