Attribute,Description,Valid Values,DependsOn,Properties,Required,Parent,DependsOn Component,Source,Validation Rules
Other Biopsy Resection Site,A description of the location on or within the human body where the surgical biopsy/resection procedure was performed (Not covered under  Clinical Data Tier 1),"","","",FALSE,Diagnosis,"","",""
Extent of Tumor Resection,"The degree to which the lesion has been cut out, or resected.","Gross Total Resection, Open Biopsy, Subtotal Resection, Extensive Subtotal, Minor, Optimal debulking, Other, Partial debulking, Segmental, Suboptimal, Suboptimal debulking, NTR, unknown, Not Reported, Not Applicable      ","","",FALSE,Diagnosis,"","",""
Precancerous Condition Type,The classification of pre-cancerous cells found in a specific collection of data being studied by the Consortium for Molecular and Cellular Characterization of Screen-Detected Lesions (MCL).,"Ductal Carcinoma In Situ,Pancreatic Intraductal Papillary-Mucinous Neoplasm,Atypical Adenomatous Lung Hyperplasia,Other,Pancreatic Intraepithelial Neoplasia,Prostatic Intraepithelial Neoplasia,Melanocytic hyperplasia,Atypical melanocytic proliferation,Melanoma in situ,Superficial spreading,Melanoma in situ,Lentigo maligna type,Melanoma in situ,Acral-lentiginous,Melanoma in situ arising in a giant congenital nevus,Persistent melanoma in situ,Melanoma in situ not otherwise classified,Scar - no residual melanoma,Invasive melanoma - superficial spreading,Invasive melanoma - nodular type,Invasive melanoma - lentigo maligna,Invasive melanoma - acral lentiginous,Invasive melanoma - desmoplastic,Invasive melanoma - nevoid,Invasive melanoma,Normal WDA,Reserve cell hyperplasia,Squamous metaplasia - mature,Squamous metaplasia - immature,Mild dysplasia,Moderate dysplasia,Severe dysplasia,Atypical adenomatous hyperplasia,Adenocarcinoma in situ - non mucinous,Adenocarcinoma in situ - mucinous,Benign tumor NOS,Hamartoma,Carcinoma NOS,No diagnosis possible","","",FALSE,Diagnosis,"","",""
Mode of Cancer Detection,"Text term used to describe the mode of cancer detection, like standard of care screening or random detection","Standard of Care Screening, Clinical Examination of unrelated cancer symptoms, Incidentaloma, Interval Cancer, Data not available","","",FALSE,Diagnosis,"","",""
Cog Neuroblastoma Risk Group,Text term that represents the categorization of patients on the basis of prognostic factors per a system developed by Children's Oncology Group (COG). Risk level is used to assign treatment intensity.,"High Risk, Intermediate Risk, Low Risk, unknown, Not Reported","","",FALSE,Diagnosis,"","",""
Cog Rhabdomyosarcoma Risk Group,"Text term used to describe the classification of rhabdomyosarcoma, as defined by the Children's Oncology Group (COG).","High Risk, Intermediate Risk, Low Risk, unknown, Not Reported","","",FALSE,Diagnosis,"","",""
Gleason Grade Group,"The text term used to describe the overall grouping of grades defined by the Gleason grading classification, which is used to determine the aggressiveness of prostate cancer. Note that this grade describes the entire prostatectomy specimen and is not specific to the sample used for sequencing.","Group 1, Group 2, Group 3, Group 4, Group 5","","",FALSE,Diagnosis,"","",""
Gleason Grade Tertiary,The text term used to describe the tertiary pattern as described by the Gleason Grading System.,"Pattern 4, Pattern 5","","",FALSE,Diagnosis,"","",""
Gleason Patterns Percent,"Numeric value that represents the percentage of Patterns 4 and 5, which is used when the Gleason score is greater than 7 to predict prognosis.","","","",FALSE,Diagnosis,"","",""
Greatest Tumor Dimension,Numeric value that represents the measurement of the widest portion of the tumor in centimeters.,"","","",FALSE,Diagnosis,"","",""
IGCCCG Stage,"The text term used to describe the International Germ Cell Cancer Collaborative Group (IGCCCG), a grouping used to further classify metastatic testicular tumors.","Good Prognosis, Intermediate Prognosis, Poor Prognosis, unknown, Not Reported","","",FALSE,Diagnosis,"","",""
INPC Grade,"Text term used to describe the classification of neuroblastic differentiation within neuroblastoma tumors, as defined by the International Neuroblastoma Pathology Classification (INPC).","Differentiating, Poorly Differentiated, Undifferentiated,unknown, Not Reported","","",FALSE,Diagnosis,"","",""
INPC Histologic Group,"The text term used to describe the classification of neuroblastomas distinguishing between favorable and unfavorable histologic groups. The histologic score, defined by the International Neuroblastoma Pathology Classification (INPC), is based on age, mitosis-karyorrhexis index (MKI), stromal content and degree of tumor cell differentiation.","Favorable, Unfavorable, unknown, Not Reported","","",FALSE,Diagnosis,"","",""
INRG Stage,"The text term used to describe the staging classification of neuroblastic tumors, as defined by the International Neuroblastoma Risk Group (INRG).","L1, L2, M, Ms, unknown, Not Reported","","",FALSE,Diagnosis,"","",""
INSS Stage,"Text term used to describe the staging classification of neuroblastic tumors, as defined by the International Neuroblastoma Staging System (INSS).","Stage 1, Stage 2A, Stage 2B, Stage 3, Stage 4, Stage 4S, unknown, Not Reported","","",FALSE,Diagnosis,"","",""
International Prognostic Index,"The text term used to describe the International Prognostic Index, which classifies the prognosis of patients with aggressive non-Hodgkin's lymphoma.","Low Risk, Low-Intermediate Risk, High-Intermediate Risk, High Risk","","",FALSE,Diagnosis,"","",""
IRS Group,"Text term used to describe the classification of rhabdomyosarcoma tumors, as defined by the Intergroup Rhabdomyosarcoma Study (IRS).","Group I,Group Ia,Group Ib,Group II, Group IIa,Group IIc,Group III,Group IIIa,Group IIIb,Group IV,unknown,Not Reported","","",FALSE,Diagnosis,"","",""
IRS Stage,"The text term used to describe the classification of rhabdomyosarcoma tumors, as defined by the Intergroup Rhabdomyosarcoma Study (IRS).","1,2,3,4,unknown,Not Reported","","",FALSE,Diagnosis,"","",""
ISS Stage,The multiple myeloma disease stage at diagnosis.,"I,II,III, Not Reported, unknown","","",FALSE,Diagnosis,"","",""
Lymph Node Involved Site,The text term used to describe the anatomic site of lymph node involvement.,"Axillary,Cervical,Epitrochlear,Femoral,Hilar,Iliac-common,Iliac-external,Iliac, NOS,Inguinal,Mediastinal,Mesenteric,None,Occipital,Paraaortic,Parotid,Popliteal,Retroperitoneal,Splenic,Submandibular,Supraclavicular,unknown,Not Reported","","",FALSE,Diagnosis,"","",""
Margin Distance,Numeric value (in centimeters) that represents the distance between the tumor and the surgical margin.,"","","",FALSE,Diagnosis,"","",""
Margins Involved Site,The text term used to describe the anatomic sites that were involved in the survival margins.,"Gerota Fascia, Parenchyma, Perinephric Fat, Renal, Renal Capsule, Renal Sinus, Renal Vein, Ureter","","",FALSE,Diagnosis,"","",""
Medulloblastoma Molecular Classification,The text term used to describe the classification of medulloblastoma tumors based on molecular features.,"Not Determined, Non-WNT/non-SHH Activated, SHH-Activated, WNT-Activated, unknown, Not Reported","","",FALSE,Diagnosis,"","",""
Micropapillary Features,The yes/no/unknown indicator used to describe whether micropapillary features were determined to be present.,"Absent, Present, unknown, Not Reported","","",FALSE,Diagnosis,"","",""
Mitosis Karyorrhexis Index,Text term that represents the component of the International Neuroblastoma Pathology Classification (INPC) for mitosis-karyorrhexis index (MKI).,"High, Intermediate, Low, unknown, Not Reported","","",FALSE,Diagnosis,"","",""
Non Nodal Regional Disease,The text term used to describe whether the patient had non-nodal regional disease.,"Absent, Indeterminate, Present, unknown, Not Reported","","",FALSE,Diagnosis,"","",""
Non Nodal Tumor Deposits,The yes/no/unknown indicator used to describe the presence of tumor deposits in the pericolic or perirectal fat or in adjacent mesentery away from the leading edge of the tumor.,"Yes, No, unknown, Not Reported","","",FALSE,Diagnosis,"","",""
Ovarian Specimen Status,The text term used to describe the physical condition of the involved ovary.,"Ovarian Capsule Intact, Ovarian Capsule Ruptured, Ovarian Capsule Fragmented, unknown, Not Reported","","",FALSE,Diagnosis,"","",""
Ovarian Surface Involvement,The text term that describes whether the surface tissue (outer boundary) of the ovary shows evidence of involvement or presence of cancer.,"Absent, Present, Indeterminate, unknown, Not Reported","","",FALSE,Diagnosis,"","",""
Pregnant at Diagnosis,The text term used to indicate whether the patient was pregnant at the time they were diagnosed.,"Yes, No, unknown, Not Reported","","",FALSE,Diagnosis,"","",""
Primary Gleason Grade,"The text term used to describe the primary Gleason score, which describes the pattern of cells making up the largest area of the tumor. The primary and secondary Gleason pattern grades are combined to determine the patient's Gleason grade group, which is used to determine the aggresiveness of prostate cancer. Note that this grade describes the entire prostatectomy specimen and is not specific to the sample used for sequencing.","Pattern 1, Pattern 2, Pattern 3, Pattern 4, Pattern 5","","",FALSE,Diagnosis,"","",""
Secondary Gleason Grade,"The text term used to describe the secondary Gleason score, which describes the pattern of cells making up the second largest area of the tumor. The primary and secondary Gleason pattern grades are combined to determine the patient's Gleason grade group, which is used to determine the aggresiveness of prostate cancer. Note that this grade describes the entire prostatectomy specimen and is not specific to the sample used for sequencing.","Pattern 1, Pattern 2, Pattern 3, Pattern 4, Pattern 5","","",FALSE,Diagnosis,"","",""
Supratentorial Localization,Text term to specify the location of the supratentorial tumor.,"Cerebral Cortex, Deep Gray, Spinal Cord, White Matter, unknown, Not Reported","","",FALSE,Diagnosis,"","",""
Tumor Depth,"Numeric value that represents the depth of tumor invasion, measured in millimeters (mm).","","","",FALSE,Diagnosis,"","",""
Tumor Grade,"Numeric value to express the degree of abnormality of cancer cells, a measure of differentiation and aggressiveness.","G1, G2, G3, G4, GX, GB, High Grade, Intermediate Grade, Low Grade, unknown, Not Reported","","",FALSE,Diagnosis,"","",""
WHO CNS Grade,WHO CNS Grade,"Grade I, Grade II, Grade III, Grade IV, Grade Not Assigned, unknown, Not Reported","","",FALSE,Diagnosis,"","",""
WHO NTE Grade,WHO NTE Grade,"G1, G2, G3, GX, unknown, Not Reported","","",FALSE,Diagnosis,"","",""
Age at Diagnosis,Age at the time of diagnosis expressed in number of days since birth.,"","","",TRUE,Diagnosis,"",https://cdebrowser.nci.nih.gov/cdebrowserClient/cdeBrowser.html#/search?publicId=3225640&version=2.0,""
Days to Last Follow up,"Time interval from the date of last follow up to the date of initial pathologic diagnosis, represented as a calculated number of days.","","","",TRUE,Diagnosis,"",https://cdebrowser.nci.nih.gov/cdebrowserClient/cdeBrowser.html#/search?publicId=3008273&version=1.0,""
Days to Last Known Disease Status,"Time interval from the date of last follow up to the date of initial pathologic diagnosis, represented as a calculated number of days.","","","",TRUE,Diagnosis,"",https://cdebrowser.nci.nih.gov/cdebrowserClient/cdeBrowser.html#/search?publicId=3008273&version=1.0,""
Last Known Disease Status,Text term that describes the last known state or condition of an individual's neoplasm.,"Distant met recurrence/progression, Loco-regional recurrence/progression, Biochemical evidence of disease without structural correlate, Tumor free, unknown tumor status, With tumor, Not Reported, Not Allowed To Collect, Not Applicable","","",TRUE,Diagnosis,"",https://cdebrowser.nci.nih.gov/cdebrowserClient/cdeBrowser.html#/search?publicId=2759550&version=1.0,""
