Attribute,Description,Valid Values,DependsOn,Properties,Required,Parent,DependsOn Component,Source,Validation Rules
HER2 Breast Carcinoma Copy Number Total,"Result of HER2 Copy Number testing (in a participant with breast cancer), expressed as a range of values.","","","",FALSE,Breast Cancer Tier 3,"","",""
Breast Carcinoma Centromere 17 Copy Number,"Result of Centromere 17 testing in a sample or specimen of metastatic breast carcinoma, expressed as a range of values.","","","",FALSE,Breast Cancer Tier 3,"","",""
Breast Carcinoma HER2 Centromere17 Copynumber Total,Number of Cells Counted for HER2 & Centromere 17 Copy Numbers in a participant with breast cancer,"","","",FALSE,Breast Cancer Tier 3,"","",""
Breast Carcinoma HER2 Chromosome17 Ratio,HER2 chromosome 17 ratio in participants with breast cancer,"","","",FALSE,Breast Cancer Tier 3,"","",""
Breast Carcinoma Surgical Procedure Name,Text name of a surgical procedure performed for a person with a diagnosis of breast cancer,"Lumpectomy, Radical mastectomy, Modified radical mastectomy, Other, Partial mastectomy, Re-excision, Simple mastectomy, Surgery not performed, unknown","","",FALSE,Breast Cancer Tier 3,"","",""
Breast Carcinoma HER2 Ratio Diagnosis,HER2 ratio of the participant at diagnosis,"","","",FALSE,Breast Cancer Tier 3,"","",""
Breast Carcinoma HER2 Status,Text term to signify the result of the medical procedure that involves testing a sample of blood or tissue for HER2 in a participant with breast cancer,"Positive, Negative, Amplified, Non-amplified, Equivocal, Indeterminate, Not Performed, unknown","","",FALSE,Breast Cancer Tier 3,"","",""
Hormone Therapy Breast Cancer Prevention Indicator,Did the patient receive hormonal therapy for prevention of breast cancer?,"Yes, No, unknown, Not Applicable","","",FALSE,Breast Cancer Tier 3,"","",""
Breast Carcinoma ER Staining Intensity,Text term to indicate the ER staining intensity on pathology assessment in a participant with breast cancer,"Strong, Moderate, Weak, Weak-Moderate, Moderate-Strong, Weak-Strong, Other, unknown","","",FALSE,Breast Cancer Tier 3,"","",""
Breast Carcinoma PR Staining Intensity,Text term to indicate the PR staining intensity on pathology assessment in a participant with breast cancer,"Strong, Moderate, Weak, Weak-Moderate, Moderate-Strong, Weak-Strong, Other, unknown","","",FALSE,Breast Cancer Tier 3,"","",""
Oncotype Score,OncotypeDX recurrence score,"","","",FALSE,Breast Cancer Tier 3,"","",""
Breast Imaging Performed Type,"The kind of technology or method performed for screening, diagnosis, surgical procedures or therapy that aids in the visualization of the breast(s).","Mammogram, Ultrasound, MRI, PET/CT, CT, Multiple imaging modalities, unknown, Data not available","","",FALSE,Breast Cancer Tier 3,"","",""
Multifocal Breast Carcinoma Present Indicator,A response to indicate if there is breast cancer characterized by the presence of multiple cancerous tumors that originate from the same clone and usually located in the same quadrant of the breast.,"Yes, No, unknown, Data not available","","",FALSE,Breast Cancer Tier 3,"","",""
Multicentric Breast Carcinoma Present Indicator,A response to indicate if there is breast cancer characterized by the presence of multiple cancerous tumors that originate from different clones and usually located in different quadrants of the breast.,"Yes, No, unknown, Data not available","","",FALSE,Breast Cancer Tier 3,"","",""
BIRADS Mammography Breast Density Category,The category that describes the relative amount of different tissues present in the breast on a mammogram based on the updated 2015 edition of the American College of Radiology's Breast Imaging Reporting and Data System (BI-RADS) reporting guidelines.,"Predominantly fatty, Scattered fibroglandular densities, Heterogeneously dense, Extremely dense, unknown, Data not available","","",FALSE,Breast Cancer Tier 3,"","",""
BIRADS Score,Score within the BI-RADS system to characterize abnormal findings,"0,1,2,3,4,4A,4B,4C,5,6","","",FALSE,Breast Cancer Tier 3,"","",""
