Attribute,Description,Valid Values,DependsOn,Properties,Required,Parent,DependsOn Component,Source,Validation Rules
Fixative Type,Text term to identify the type of fixative used to preserve a tissue specimen,"Acetone, Alcohol, Formalin, Glutaraldehyde, OCT media, RNAlater, Saline, 95% Ethanol, Dimidoester, Carbodiimide, Dimethylacetamide, Para-benzoquinone, PAXgene tissue, TCL lysis buffer, NP40 lysis buffer, Methacarn, Cryo-store, Carnoy's Fixative, Polaxamer, Other, None, unknown","","",TRUE,Biospecimen,"",https://cdebrowser.nci.nih.gov/cdebrowserClient/cdeBrowser.html#/search?publicId=65078&version=3.0,""
Fixation Duration,"The length of time, from beginning to end, required to process or preserve biospecimens in fixative (measured in minutes)","","","",TRUE,Biospecimen,"",https://cdebrowser.nci.nih.gov/cdebrowserClient/cdeBrowser.html#/search?publicId=5230144&version=1.0,""
Ischemic Time,"Duration of time, in seconds, between when the specimen stopped receiving oxygen and when it was preserved or processed. Integer value.","","","",FALSE,Biospecimen,"",https://data.humancellatlas.org/metadata/dictionary/biomaterial/specimen_from_organism#specimen_from_organism-state_of_specimen-gross_description,""
Ischemic Temperature,Specify whether specimen experienced warm or cold ischemia.,"Warm Ischemia, Cold Ischemia, Ambient air, 4C wet ice, Negative -20C, Dry Ice, Liquid Nitrogen, unknown","","",FALSE,Biospecimen,"",https://data.humancellatlas.org/metadata/dictionary/biomaterial/specimen_from_organism#specimen_from_organism-state_of_specimen-gross_description,""
Collection Media,Material Specimen is collected into post procedure,"DMEM, DMEM+Serum, RPMI, RPMI+Serum, PBS, PBS+Serum, None","","",FALSE,Biospecimen,"","",""
Specimen Laterality,"For tumors in paired organs, designates the side on which the specimen was obtained.","Bilateral, Left, Right, unknown, Not Reported, Not Applicable","","",TRUE,Biospecimen,"",https://cdebrowser.nci.nih.gov/cdebrowserClient/cdeBrowser.html#/search?publicId=2007875&version=1.0,""
Portion Weight,"Numeric value that represents the sample portion weight, measured in milligrams.","","","",FALSE,Biospecimen,"",https://cdebrowser.nci.nih.gov/cdebrowserClient/cdeBrowser.html#/search?publicId=5432593&version=1.0,""
Total Volume,Numeric value for the total amount of sample or specimen,"",Total Volume Unit,"",FALSE,Biospecimen,"",https://cdebrowser.nci.nih.gov/cdebrowserClient/cdeBrowser.html#/search?publicId=3005019&version=1.0,""
Total Volume Unit,Unit of measurement used for the total amount of sample or specimen,"mL, mm^3, cm^2","","",FALSE,Biospecimen,"","",""
Tumor Tissue Type,Text that describes the kind of disease present in the tumor specimen as related to a specific timepoint (add rows to select multiple values along with timepoints),"Additional Primary, Local recurrence, Metastatic, Premalignant, Primary, Recurrent, Normal, Normal adjacent, Normal distant, Post therapy, Post therapy neoadjuvant, Post therapy adjuvant, Not Otherwise Specified, Premalignant - in situ, Atypia - hyperplasia","","",TRUE,Biospecimen,"",https://cdebrowser.nci.nih.gov/cdebrowserClient/cdeBrowser.html#/search?publicId=3288124&version=1.0,""
Histologic Morphology Code,"Histologic Morphology Code, based on ICD-O-3. Any valid ICD-O-3 morphology code. See https://seer.cancer.gov/icd-o-3/ and https://seer.cancer.gov/icd-o-3/sitetype.icdo3.20200629.xlsx. Examples: 80510","","","",TRUE,Biospecimen,"",https://cdebrowser.nci.nih.gov/cdebrowserClient/cdeBrowser.html#/search?publicId=3226275&version=1.0,""
Preinvasive Morphology,"Histologic Morphology not included in ICD-O-3 morphology codes, for preinvasive lesions included in the ","Melanocytic hyperplasia, Atypical melanocytic proliferation, Melanoma in situ - superficial spreading, Melanoma in situ - lentigo maligna type, Melanoma in situ - acral-lentiginous, Melanoma in situ - arising in a giant congenital nevus, Persistent melanoma in situ, Melanoma in situ - not otherwise classified, Scar - no residual melanoma, Invasive melanoma - superficial spreading, Invasive melanoma - nodular type, Invasive melanoma - lentigo maligna, Invasive melanoma - acral lentiginous, Invasive melanoma - desmoplastic, Invasive melanoma - nevoid, Invasive melanoma - other, Normal WDA, Reserve cell hyperplasia, Squamous metaplasia - mature, Squamous metaplasia - immature, Mild dysplasia, Moderate dysplasia, Severe dysplasia, Squamous Carcinoma in situ, Atypical adenomatous hyperplasia, Adenocarcinoma in situ - non mucinous, Adenocarcinoma in situ - mucinous, Benign tumor NOS, Hamartoma, Carcinoma NOS, No diagnosis possible","","",FALSE,Biospecimen,"","",""
Slide Charge Type,A description of the charge on the glass slide.,"Uncharged, Charged, Coverslip, Not applicable, Other","","",TRUE,Biospecimen,"",https://cdebrowser.nci.nih.gov/cdebrowserClient/cdeBrowser.html#/search?publicId=5227611&version=1.0,""
Section Thickness Value,"Numeric value to describe the thickness of a slice to tissue taken from a biospecimen, measured in microns (um).","","","",TRUE,Biospecimen,"",https://cdebrowser.nci.nih.gov/cdebrowserClient/cdeBrowser.html#/search?publicId=3024951&version=1.0,""
Sectioning Days from Index,Number of days from the research participant's index date that the biospecimen was sectioned after collection,"","","",TRUE,Biospecimen,"","",""
Storage Method,The method by which a biomaterial was stored after preservation or before another protocol was used.,"Ambient temperature, Cut slide, Fresh, Frozen at -70C, Frozen at -80C, Frozen at -150C, Frozen in liquid nitrogen, Frozen in vapor phase, Paraffin block, RNAlater at 4C, RNAlater at 25C, RNAlater at -20C, Refrigerated at 4 degrees, Refrigerated vacuum chamber, 4C in vacuum chamber, Desiccant at 4C, Not Applicable, unknown","","",TRUE,Biospecimen,"",https://data.humancellatlas.org/metadata/dictionary/biomaterial/specimen_from_organism#specimen_from_organism-preservation_storage-storage_method,""
Processing Days from Index,Number of days from the research participant's index date that the biospecimen was processed,"","","",TRUE,Biospecimen,"","",""
Shipping Condition Type,Text descriptor of the shipping environment of a biospecimen.,"Ambient Pack, Cold Pack, Dry Ice, Ice Pack, Liquid Nitrogen, Specimen at Room Temperature, Other Shipping Environment, Not Shipped","","",TRUE,Biospecimen,"",https://cdebrowser.nci.nih.gov/cdebrowserClient/cdeBrowser.html#/search?publicId=5495533&version=1.0,""
Site Data Source,"Text to identify the data source for the specimen/sample from within the  center, if applicable. Any identifier used within the center to identify data sources. No PHI/PII is allowed.","","","",FALSE,Biospecimen,"","",""
Processing Location,"Site with an  center where specimen processing occurs, if applicable. Any identifier used within the center to identify processing location. No PHI/PII is allowed.","","","",FALSE,Biospecimen,"","",""
Histology Assessment By,Text term describing who (in what role) made the histological assessments of the sample,"Pathologist, Research Scientist, Other, unknown","","",FALSE,Biospecimen,"","",""
Histology Assessment Medium,The method of assessment used to characterize histology,"Digital, Microscopy, Other, unknown","","",FALSE,Biospecimen,"","",""
Tumor Infiltrating Lymphocytes,Measure of Tumor-Infiltrating Lymphocytes [Number],"","","",FALSE,Biospecimen,"","",""
Degree of Dysplasia,Information related to the presence of cells that look abnormal under a microscope but are not cancer. Records the degree of dysplasia for the cyst or lesion under consideration.,"Normal or basal cell hyperplasia or metaplasia, Mild dysplasia, Moderate dysplasia, Severe dysplasia, Carcinoma in Situ, unknown","","",FALSE,Biospecimen,"",https://cdebrowser.nci.nih.gov/cdebrowserClient/cdeBrowser.html#/search?publicId=5543188&version=1.0,""
Dysplasia Fraction,Resulting value to represent the number of pieces of dysplasia divided by the total number of pieces. [Text: max length 5],"","","",FALSE,Biospecimen,"",https://cdebrowser.nci.nih.gov/cdebrowserClient/cdeBrowser.html#/search?publicId=2390593&version=1.0,""
Number Proliferating Cells,Numeric value that represents the count of proliferating cells determined during pathologic review of the sample slide(s).,"","","",FALSE,Biospecimen,"",https://cdebrowser.nci.nih.gov/cdebrowserClient/cdeBrowser.html#/search?publicId=5432636&version=1.0,""
Percent Eosinophil Infiltration,Numeric value to represent the percentage of infiltration by eosinophils in a tumor sample or specimen.,"","","",FALSE,Biospecimen,"",https://cdebrowser.nci.nih.gov/cdebrowserClient/cdeBrowser.html#/search?publicId=2897700&version=2.0,""
Percent Granulocyte Infiltration,Numeric value to represent the percentage of infiltration by granulocytes in a tumor sample or specimen.,"","","",FALSE,Biospecimen,"",https://cdebrowser.nci.nih.gov/cdebrowserClient/cdeBrowser.html#/search?publicId=2897705&version=2.0,""
Percent Inflam Infiltration,"Numeric value to represent local response to cellular injury, marked by capillary dilatation, edema and leukocyte infiltration; clinically, inflammation is manifest by redness, heat, pain, swelling and loss of function, with the need to heal damaged tissue.","","","",FALSE,Biospecimen,"",https://cdebrowser.nci.nih.gov/cdebrowserClient/cdeBrowser.html#/search?publicId=2897695&version=1.0,""
Percent Lymphocyte Infiltration,Numeric value to represent the percentage of infiltration by lymphocytes in a solid tissue normal sample or specimen.,"","","",FALSE,Biospecimen,"",https://cdebrowser.nci.nih.gov/cdebrowserClient/cdeBrowser.html#/search?publicId=2897710&version=2.0,""
Percent Monocyte Infiltration,Numeric value to represent the percentage of monocyte infiltration in a sample or specimen.,"","","",FALSE,Biospecimen,"",https://cdebrowser.nci.nih.gov/cdebrowserClient/cdeBrowser.html#/search?publicId=5455535&version=1.0,""
Percent Necrosis,Numeric value to represent the percentage of cell death in a malignant tumor sample or specimen.,"","","",FALSE,Biospecimen,"",https://cdebrowser.nci.nih.gov/cdebrowserClient/cdeBrowser.html#/search?publicId=2841237&version=1.0,""
Percent Neutrophil Infiltration,Numeric value to represent the percentage of infiltration by neutrophils in a tumor sample or specimen.,"","","",FALSE,Biospecimen,"",https://cdebrowser.nci.nih.gov/cdebrowserClient/cdeBrowser.html#/search?publicId=2841233&version=1.0,""
Percent Normal Cells,Numeric value to represent the percentage of normal cell content in a malignant tumor sample or specimen.,"","","",FALSE,Biospecimen,"",https://cdebrowser.nci.nih.gov/cdebrowserClient/cdeBrowser.html#/search?publicId=2841233&version=1.0,""
Percent Stromal Cells,"Numeric value to represent the percentage of reactive cells that are present in a malignant tumor sample or specimen but are not malignant such as fibroblasts, vascular structures, etc.","","","",FALSE,Biospecimen,"",https://cdebrowser.nci.nih.gov/cdebrowserClient/cdeBrowser.html#/search?publicId=2841241&version=1.0,""
Percent Tumor Cells,Numeric value that represents the percentage of infiltration by tumor cells in a sample.,"","","",FALSE,Biospecimen,"",https://cdebrowser.nci.nih.gov/cdebrowserClient/cdeBrowser.html#/search?publicId=5432686&version=1.0,""
Percent Tumor Nuclei,Numeric value to represent the percentage of tumor nuclei in a malignant neoplasm sample or specimen.,"","","",FALSE,Biospecimen,"",https://cdebrowser.nci.nih.gov/cdebrowserClient/cdeBrowser.html#/search?publicId=2841225&version=1.0,""
Fiducial Marker,Imaging specific: fiducial markers for the alignment of images taken across multiple rounds of imaging.,"Nuclear Stain - DAPI, Fluorescent Beads, Grid Slides - Hemocytometer, Adhesive Markers, Other, unknown, Not Reported","","",FALSE,Biospecimen,"",https://data.humancellatlas.org/metadata/dictionary/protocol/imaging/imaging_preparation_protocol#imaging_preparation_protocol-protocol_core-protocols_io_doi,""
Slicing Method,Imaging specific: the method by which the tissue was sliced.,"Vibratome, Cryosectioning, Tissue molds, Sliding microtome, Sectioning, Other, unknown, Not Reported","","",FALSE,Biospecimen,"",https://data.humancellatlas.org/metadata/dictionary/protocol/imaging/imaging_preparation_protocol#imaging_preparation_protocol-protocol_core-protocols_io_doi,""
Antigen Retrieval,"Imaging specific: information on antigen retrieval when it is used for a pathology specimen. E.g. pH 6 (Citric Acid), pH 8 (tris), or pH 10. [Text - max length 100] ","","","",FALSE,Biospecimen,"",https://cdebrowser.nci.nih.gov/cdebrowserClient/cdeBrowser.html#/search?publicId=64676&version=3.0,""
Biospecimen Slide Location,Imaging specific: text term to capture the relative position and orientation of the core location within a piece of tissue on the slide relative to the region of interest slide coordinates. use https://docs.openmicroscopy.org/ome-model/6.0.1/developers/roi.html#shape-concrete-implementations if applciable,"","","",FALSE,Biospecimen,"","",""
Staining Markers,Imaging specific: text to identify proteins/ antibodies selected for staining,"","","",FALSE,Biospecimen,"","",""
Lysis Buffer,scRNA-seq specific: Type of lysis buffer used,"","","",FALSE,Biospecimen,"","",""
Method of Nucleic Acid Isolation,"Bulk RNA & DNA-seq specific: method used for nucleic acid isolation. E.g. Qiagen Allprep, Qiagen miRNAeasy. [Text - max length 100]","","","",FALSE,Biospecimen,"","",""
Biospecimen Dimension 1,"First dimension of tissue fragment (number, up to one decimal place) measured in units as defined by the """"dimensions_unit"""" CDE","",Dimensions Unit,"",FALSE,Biospecimen,"","",""
Biospecimen Dimension 2,"Second dimension of tissue fragment (number, up to one decimal place) measured in units as defined by the """"dimensions_unit"""" CDE","","","",FALSE,Biospecimen,"","",""
Biospecimen Dimension 3,"Third dimension of tissue fragment (number, up to one decimal place) measured in units as defined by the """"dimensions_unit"""" CDE","","","",FALSE,Biospecimen,"","",""
Dimensions Unit,"Unit of measurement used for dimension CDEs in metric system (i.e. cm, mm, etc)","mm, cm","","",FALSE,Biospecimen,"","",""
Section Number in Sequence,"Numeric value (integer, including ranges) provided to a sample in a series of sections (list all adjacent sections in the Adjacent Biospecimen IDs field)","","","",FALSE,Biospecimen,"","",""
